"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"169",4,0,1,1,1,0,1,"hist",9,0.2497204,0.000992319021281791,0.2503318,0.00201945442137118
"170",4,0,1,1,1,0,1,"hist",10,0.2478118,0.00128821138016984,0.2485744,0.00213656149923166
"171",4,0,1,1,1,0,1,"hist",11,0.2461118,0.00123355038810637,0.2469592,0.00187426853999323
"172",4,0,1,1,1,0,1,"hist",12,0.2445346,0.001190578447644,0.2455118,0.0021421943329215
"173",4,0,1,1,1,0,1,"hist",13,0.2431998,0.00134480234979145,0.2443386,0.00236861331584678
"174",4,0,1,1,1,0,1,"hist",14,0.2419424,0.00156784343606097,0.2431798,0.00251132454294544
"175",4,0,1,1,1,0,1,"hist",15,0.2407472,0.00171641538096267,0.242085,0.00276586362642897
"176",4,0,1,1,1,0,1,"hist",16,0.2393928,0.00174705196259546,0.240709,0.00262964408238098
"177",4,0,1,1,1,0,1,"hist",17,0.2383376,0.00164994310204759,0.2397518,0.00256694444038106
"178",4,0,1,1,1,0,1,"hist",18,0.2375456,0.00178453115411529,0.2390842,0.00265898261746835
"179",4,0,1,1,1,0,1,"hist",19,0.2366968,0.00190766615528124,0.2382826,0.00280473938896145
"180",4,0,1,1,1,0,1,"hist",20,0.2359268,0.00182823777447183,0.2376074,0.00269829165213828
"181",4,0,1,1,1,0,1,"hist",21,0.2349612,0.00175838339391331,0.236716,0.00236639844489322
"182",4,0,1,1,1,0,1,"hist",22,0.2343348,0.0022137428396259,0.2360398,0.00240702716229036
"183",4,0,1,1,1,0,1,"hist",23,0.2333332,0.00176602756490494,0.2351182,0.00203441484461752
"184",4,0,1,1,1,0,1,"hist",24,0.2325804,0.00167119473431409,0.2343374,0.00201060494379298
"185",4,0,1,1,1,0,1,"hist",25,0.231851,0.00143183448763991,0.2336586,0.00169529072432895
"186",4,0,1,1,1,0,1,"hist",26,0.2312454,0.0011635993468561,0.2331294,0.00148027005644637
